CellID,DNA1_cellRingMask,BG1_cellRingMask,BG2_cellRingMask,BG3_cellRingMask,DNA2_cellRingMask,CD25_cellRingMask,CD2_cellRingMask,CD10_cellRingMask,DNA3_cellRingMask,CD163_cellRingMask,CD3D_cellRingMask,CD5_cellRingMask,DNA4_cellRingMask,CD30_cellRingMask,ACTIN_cellRingMask,CD45_cellRingMask,DNA5_cellRingMask,CD206_cellRingMask,CD68_cellRingMask,PD1_cellRingMask,DNA6_cellRingMask,KI67_cellRingMask,CD11C_cellRingMask,CD7_cellRingMask,DNA7_cellRingMask,CD8A_cellRingMask,FOXP3_cellRingMask,CD20_cellRingMask,DNA8_cellRingMask,CD4_cellRingMask,HLADR_cellRingMask,PSTAT3_cellRingMask,DNA9_cellRingMask,PS6_cellRingMask,PERK_cellRingMask,CD21_cellRingMask,DNA10_cellRingMask,CD43_cellRingMask,NOS2_cellRingMask,PDL1_cellRingMask,DNA11_cellRingMask,CD11B_cellRingMask,CD57_cellRingMask,MHCI_cellRingMask,DNA12_cellRingMask,CD15_cellRingMask,ASMA_cellRingMask,CD56_cellRingMask,X_centroid,Y_centroid,column_centroid,row_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,4572.491071428572,924.8482142857143,597.1339285714286,1069.2410714285713,4644.571428571428,698.5267857142857,1651.3035714285713,2033.0892857142858,1831.9285714285713,2915.901785714286,1036.669642857143,1887.7857142857142,2775.6964285714284,1219.892857142857,6100.508928571428,2302.098214285714,1181.2767857142858,1623.5089285714287,292.17857142857144,2999.2321428571427,2015.7142857142858,2697.8214285714284,2268.089285714286,987.0535714285714,2386.3928571428573,670.7678571428571,138.14285714285714,1026.044642857143,2360.0446428571427,2694.2946428571427,360.75892857142856,3010.4910714285716,1716.517857142857,973.3303571428571,406.0982142857143,2917.901785714286,1391.7232142857142,790.6607142857143,458.9642857142857,1526.3392857142858,1210.8392857142858,1092.482142857143,174.40178571428572,11133.339285714286,1090.2767857142858,1145.0892857142858,2355.7946428571427,3423.125,696.9285714285714,191.22321428571428,696.9285714285714,191.22321428571428,112,14.59460464386151,9.970175677713915,0.7302863176529406,0.9491525423728814,0.5743589743589743,-0.5919809088032074
2,3158.1575757575756,810.3757575757576,484.7090909090909,1033.678787878788,3180.9757575757576,623.2666666666667,1016.8909090909091,1856.4848484848485,1305.6666666666667,1330.2121212121212,432.4969696969697,1773.5575757575757,1982.5454545454545,1117.0181818181818,1742.2727272727273,727.4666666666667,897.6242424242424,1322.2787878787879,263.9818181818182,2627.8848484848486,1521.121212121212,1195.8484848484848,254.24242424242425,565.5757575757576,1729.7636363636364,370.27878787878785,116.41818181818182,987.8727272727273,1807.2363636363636,1465.612121212121,356.2060606060606,2881.660606060606,1374.3151515151515,736.9515151515152,392.76363636363635,3273.787878787879,1079.9939393939394,665.369696969697,414.6606060606061,1397.8727272727272,992.8060606060606,650.0727272727273,173.9878787878788,11082.896969696969,973.2242424242424,1161.5757575757575,4083.078787878788,3334.878787878788,682.8666666666667,197.12121212121212,682.8666666666667,197.12121212121212,165,19.67063790844135,10.83377700534436,0.8346644475392083,0.9269662921348315,0.6680161943319838,1.2629740962286007
3,3964.3356164383563,987.7260273972603,647.6095890410959,1115.9109589041095,4096.157534246576,783.8150684931506,2457.7876712328766,2248.513698630137,1639.876712328767,3216.801369863014,1107.2602739726028,1905.2328767123288,2469.417808219178,1272.2739726027398,9804.760273972603,3179.821917808219,1109.4520547945206,1888.013698630137,308.2054794520548,3056.5890410958905,1902.6301369863013,2659.8972602739727,4268.479452054795,1107.9178082191781,2196.0342465753424,560.8630136986301,149.22602739726028,1002.1780821917808,2249.849315068493,2847.0753424657532,353.1027397260274,2913.0342465753424,1664.6712328767123,932.1506849315068,404.4657534246575,3089.198630136986,1313.2808219178082,801.1575342465753,493.4246575342466,1620.3219178082193,1139.1780821917807,1514.972602739726,183.86301369863014,14330.931506849314,1086.7808219178082,1209.335616438356,5603.732876712329,3637.1438356164385,703.6438356164383,200.36301369863014,703.6438356164383,200.36301369863014,146,13.947250993831203,13.447785201064423,0.26521629126123714,0.9864864864864865,0.6952380952380952,-0.38127438353014764
4,5667.971014492754,970.8478260869565,641.0869565217391,1121.4492753623188,5547.927536231884,733.7608695652174,4261.673913043478,2276.159420289855,2110.5652173913045,2167.876811594203,1637.5289855072465,1904.5434782608695,3162.1376811594205,1303.1811594202898,8108.963768115942,2118.8333333333335,1325.9855072463768,1536.7753623188405,301.5072463768116,3388.340579710145,2243.7391304347825,4921.072463768116,2329.6304347826085,1269.2028985507247,2672.876811594203,769.6666666666666,148.2173913043478,1047.695652173913,2614.6884057971015,2370.478260869565,351.6014492753623,3171.913043478261,1925.731884057971,948.1521739130435,424.768115942029,3110.659420289855,1430.0942028985507,878.5289855072464,477.963768115942,1536.7898550724638,1343.2608695652175,1177.5217391304348,177.35507246376812,8889.72463768116,1139.6521739130435,1216.8985507246377,4527.094202898551,3622.3333333333335,643.9710144927536,201.2173913043478,643.9710144927536,201.2173913043478,138,15.047552977001224,11.934184161003914,0.6090940513950458,0.9324324324324325,0.6160714285714286,0.13677864244297414
5,5514.7510548523205,987.590717299578,683.084388185654,1125.4978902953587,5499.265822784811,744.7637130801688,3564.4008438818564,2311.2827004219407,2150.299578059072,2342.0632911392404,1899.350210970464,1936.886075949367,3216.084388185654,1294.2320675105486,8084.801687763713,2671.4556962025317,1397.493670886076,1600.9113924050632,303.73417721518985,3311.434599156118,2450.2025316455697,2936.8227848101264,2470.1265822784812,1506.2616033755273,2797.059071729958,663.3586497890295,139.65400843881858,1007.5611814345991,2838.869198312236,1940.8565400843881,349.62025316455697,3107.9240506329115,2133.68776371308,1023.9957805907173,419.09282700421943,3097.5949367088606,1608.379746835443,936.5696202531645,495.37974683544303,1533.4430379746836,1550.240506329114,1241.2869198312237,195.1223628691983,11278.974683544304,1385.3839662447258,1269.1898734177216,3087.7172995780593,3713.3755274261603,631.6708860759494,206.75527426160338,631.6708860759494,206.75527426160338,237,20.78128860331539,14.84702256902916,0.6996948068701493,0.9404761904761905,0.6583333333333333,0.87115670827557
6,3742.2391304347825,1046.5144927536232,601.2101449275362,1048.1159420289855,3559.31884057971,729.7391304347826,1351.4202898550725,1892.391304347826,1532.144927536232,2171.659420289855,953.8405797101449,1801.0289855072465,2289.391304347826,1223.4492753623188,4259.275362318841,1867.804347826087,1032.036231884058,1469.8695652173913,274.84057971014494,2766.021739130435,1789.927536231884,3820.0942028985505,1234.8260869565217,649.4565217391304,2074.6521739130435,426.3768115942029,126.52173913043478,1101.9057971014493,2121.3115942028985,2134.5,320.9130434782609,2887.217391304348,1621.659420289855,954.5434782608696,382.39130434782606,2115.840579710145,1167.9347826086957,725.1231884057971,461.15942028985506,1513.1376811594203,1105.0797101449275,1136.7898550724638,176.0144927536232,13470.282608695652,993.7826086956521,1153.1521739130435,3925.1666666666665,3606.913043478261,546.1086956521739,206.68115942028984,546.1086956521739,206.68115942028984,138,14.444826741777122,12.266170212041818,0.5281132890453779,0.9517241379310345,0.7076923076923077,-1.02272948374177
7,4921.548387096775,992.8193548387097,611.6645161290322,1105.483870967742,4700.877419354839,767.6193548387097,2393.8967741935485,2249.2129032258063,1982.7806451612903,2366.148387096774,1232.6709677419356,1923.0258064516129,2927.574193548387,1284.4709677419355,5605.393548387096,2201.2451612903224,1307.0193548387097,1798.7032258064517,311.1741935483871,3039.3161290322582,2215.825806451613,4452.916129032258,2181.664516129032,1291.2129032258065,2499.025806451613,569.141935483871,139.53548387096774,1155.8,2564.2451612903224,2230.548387096774,356.3354838709677,2998.4,1856.9354838709678,872.3225806451613,413.1483870967742,3245.974193548387,1525.9935483870968,808.2774193548387,483.3741935483871,1532.4322580645162,1305.6322580645162,1109.4903225806452,187.91612903225806,10587.851612903225,1260.3806451612904,1243.3548387096773,2673.4064516129033,3655.9870967741936,732.3032258064516,211.98709677419356,732.3032258064516,211.98709677419356,155,21.264562660114397,9.841128113868304,0.8864654605123424,0.9011627906976745,0.670995670995671,0.0809995373684596
8,3927.987341772152,898.873417721519,572.0316455696203,1072.5949367088608,3877.8481012658226,702.8037974683544,2544.8607594936707,2130.4367088607596,1619.620253164557,2429.1772151898736,1031.3037974683543,1901.2215189873418,2533.1075949367087,1209.6772151898733,7587.537974683544,1984.23417721519,1131.5759493670887,1539.759493670886,285.7278481012658,3009.4303797468356,1898.9746835443038,1136.9683544303798,4159.481012658228,953.7721518987341,2188.3101265822784,527.8607594936709,135.7405063291139,1002.2025316455696,2251.8734177215188,2126.981012658228,330.22151898734177,3068.2974683544303,1748.879746835443,801.632911392405,396.84177215189874,2969.6455696202534,1320.1012658227849,782.0759493670886,457.7911392405063,1557.379746835443,1247.9177215189873,1466.746835443038,178.28481012658227,13234.006329113925,1150.5949367088608,1212.7974683544303,3144.96835443038,3530.46835443038,582.9683544303797,211.70253164556962,582.9683544303797,211.70253164556962,158,16.582419053272446,12.20278706748765,0.6771043365788016,0.9518072289156626,0.6196078431372549,0.46303448789991036
9,1876.25,876.89375,616.7625,1068.578125,2078.440625,733.871875,2198.359375,2157.546875,833.615625,4708.1,854.546875,1943.659375,1364.89375,1184.99375,10338.60625,2768.659375,651.153125,1676.721875,314.31875,2963.390625,1204.546875,446.3375,3433.04375,823.275,1401.653125,510.165625,146.23125,1000.809375,1542.625,3032.196875,369.225,2833.540625,1209.271875,712.69375,417.509375,3180.06875,1043.590625,756.415625,486.4875,1752.09375,930.33125,1389.4125,198.1625,20717.553125,997.46875,1244.39375,4576.25,3662.70625,779.884375,217.05625,779.884375,217.05625,320,24.162480128690635,19.01210200847424,0.6171519688158712,0.8839779005524862,0.6095238095238096,-1.1138366701042304
10,3971.0367647058824,860.8676470588235,550.4558823529412,1061.2426470588234,4076.080882352941,680.5147058823529,2241.573529411765,2051.360294117647,1678.1985294117646,2614.389705882353,1065.1029411764705,1840.4926470588234,2588.7573529411766,1187.9191176470588,6570.661764705882,2108.389705882353,1154.764705882353,1760.5661764705883,284.6102941176471,2954.654411764706,1914.3529411764705,2657.264705882353,1635.1764705882354,1250.8014705882354,2239.3161764705883,447.20588235294116,128.38970588235293,939.2720588235294,2375.301470588235,2183.485294117647,340.86764705882354,2892.2573529411766,1725.8235294117646,945.0514705882352,403.3529411764706,3177.830882352941,1414.6838235294117,762.4485294117648,476.4485294117647,1558.2132352941176,1281.1029411764705,958.9632352941177,181.5735294117647,14762.786764705883,1230.2279411764705,1260.4705882352941,7381.617647058823,3603.323529411765,666.2794117647059,215.60294117647058,666.2794117647059,215.60294117647058,136,14.571947002825063,11.936287929812913,0.5736109573410246,0.9577464788732394,0.6974358974358974,-1.4310546447292345
