CellID,DNA1_cellRingMask,BG1_cellRingMask,BG2_cellRingMask,BG3_cellRingMask,DNA2_cellRingMask,CD25_cellRingMask,CD2_cellRingMask,CD10_cellRingMask,DNA3_cellRingMask,CD163_cellRingMask,CD3D_cellRingMask,CD5_cellRingMask,DNA4_cellRingMask,CD30_cellRingMask,ACTIN_cellRingMask,CD45_cellRingMask,DNA5_cellRingMask,CD206_cellRingMask,CD68_cellRingMask,PD1_cellRingMask,DNA6_cellRingMask,KI67_cellRingMask,CD11C_cellRingMask,CD7_cellRingMask,DNA7_cellRingMask,CD8A_cellRingMask,FOXP3_cellRingMask,CD20_cellRingMask,DNA8_cellRingMask,CD4_cellRingMask,HLADR_cellRingMask,PSTAT3_cellRingMask,DNA9_cellRingMask,PS6_cellRingMask,PERK_cellRingMask,CD21_cellRingMask,DNA10_cellRingMask,CD43_cellRingMask,NOS2_cellRingMask,PDL1_cellRingMask,DNA11_cellRingMask,CD11B_cellRingMask,CD57_cellRingMask,MHCI_cellRingMask,DNA12_cellRingMask,CD15_cellRingMask,ASMA_cellRingMask,CD56_cellRingMask,X_centroid,Y_centroid,column_centroid,row_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,16073.90780141844,1206.2056737588653,574.2198581560284,1175.3617021276596,13233.702127659575,825.6950354609929,468.27659574468083,1775.5744680851064,6136.5390070921985,718.4326241134752,337.8936170212766,1739.8439716312057,9793.397163120568,1478.8297872340424,1350.8510638297873,1286.5390070921985,4031.1063829787236,1603.22695035461,333.0354609929078,2385.978723404255,7713.758865248227,1089.2198581560283,205.7659574468085,474.15602836879435,8046.780141843971,428.12056737588654,125.45390070921985,764.6737588652483,7504.269503546099,1639.113475177305,260.468085106383,2822.517730496454,7155.879432624113,959.9219858156029,337.2482269503546,1568.3120567375886,4774.170212765957,966.354609929078,474.01418439716315,1337.2836879432625,2776.574468085106,576.0992907801418,149.68794326241135,3741.0921985815603,1533.1560283687943,1091.936170212766,100.9290780141844,3041.468085106383,574.8723404255319,214.59574468085106,574.8723404255319,214.59574468085106,141,16.056850485304704,11.361746223838392,0.7066182808874248,0.9527027027027027,0.7833333333333333,-1.2782410848866108
2,14856.849056603774,1621.867924528302,657.9811320754717,1128.6037735849056,14245.490566037735,901.688679245283,499.04716981132077,1561.3207547169811,6074.424528301887,743.8396226415094,343.8867924528302,1659.4716981132076,9942.745283018869,1555.0566037735848,802.1132075471698,938.1698113207547,4106.6509433962265,1589.2358490566037,345.3490566037736,2408.0471698113206,7758.735849056604,1110.6509433962265,168.4245283018868,477.04716981132077,8154.056603773585,460.3301886792453,125.51886792452831,429.22641509433964,7683.726415094339,1623.1603773584907,221.5,2809.735849056604,7251.867924528302,780.811320754717,336.42452830188677,1531.4528301886792,4849.622641509434,1027.8396226415093,465.1132075471698,1322.6132075471698,2965.5471698113206,584.1509433962265,157.85849056603774,5878.292452830188,1524.9622641509434,964.0566037735849,123.90566037735849,2963.7169811320755,553.7924528301887,216.95283018867926,553.7924528301887,216.95283018867926,106,13.354224768106796,10.269769696976063,0.6392153694710477,0.954954954954955,0.6309523809523809,0.9397504458549631
3,14288.254777070064,1203.6687898089172,615.2993630573249,1185.9808917197452,14211.012738853504,881.5031847133758,507.4012738853503,1852.063694267516,6355.71974522293,731.6624203821656,344.0891719745223,1730.4649681528663,10600.585987261147,1553.5222929936306,1554.0254777070063,1092.3248407643312,4444.6942675159235,1650.6433121019109,332.0,2346.6942675159235,7854.656050955414,2143.1337579617834,205.0955414012739,999.2929936305733,8696.216560509554,461.3949044585987,122.03184713375796,892.3566878980891,8282.75796178344,1579.8407643312103,277.4203821656051,2820.0063694267515,7665.541401273886,923.0700636942676,322.2484076433121,2802.732484076433,5338.248407643312,959.1464968152866,453.2484076433121,1328.6496815286623,2842.1019108280257,630.0764331210191,170.55414012738854,5791.9426751592355,1699.6178343949045,1259.0382165605095,2289.808917197452,3249.0382165605097,517.8980891719746,223.17834394904457,517.8980891719746,223.17834394904457,157,15.752678113432701,12.87444377694614,0.5762321954884151,0.9457831325301205,0.7476190476190476,0.6107918965071897
4,23617.844036697246,1373.8440366972477,612.954128440367,1144.8256880733945,21980.07339449541,913.816513761468,606.183486238532,1647.5412844036698,9855.08256880734,705.2293577981651,494.57798165137615,1722.0183486238532,15568.899082568807,1610.1284403669724,851.1009174311927,1411.2844036697247,6740.577981651376,1614.2844036697247,372.0183486238532,2440.935779816514,12111.348623853211,3172.706422018349,152.651376146789,736.2477064220184,13620.11009174312,925.7064220183486,134.76146788990826,428.4036697247706,12815.559633027522,1670.834862385321,240.61467889908258,2831.7247706422017,12060.91743119266,922.6880733944954,355.9816513761468,1542.6146788990825,8445.385321100917,1267.5504587155963,511.3761467889908,1328.8256880733945,3685.0366972477063,645.3394495412844,171.07339449541286,7111.192660550459,2658.183486238532,1437.394495412844,403.6238532110092,3252.1651376146788,546.2477064220184,224.10091743119267,546.2477064220184,224.10091743119267,109,12.604598886621318,11.27380451185792,0.44722810800118706,0.9732142857142857,0.6488095238095238,-0.14390582479697997
5,19580.611650485436,1121.2815533980583,531.9902912621359,1119.9029126213593,19041.631067961163,808.242718446602,484.90291262135923,1540.2330097087379,8693.398058252427,593.0970873786408,568.2912621359224,1666.8058252427184,13548.776699029126,1451.893203883495,1053.7669902912621,1674.873786407767,5924.495145631068,1493.7572815533981,326.3883495145631,2386.4271844660193,10906.116504854368,607.757281553398,144.126213592233,841.9805825242719,12169.95145631068,773.2621359223301,121.77669902912622,469.1747572815534,11402.388349514564,1532.1456310679612,297.88349514563106,2818.6116504854367,11064.844660194174,795.3495145631068,328.0388349514563,1509.7281553398059,7627.922330097087,1172.2135922330096,469.66990291262135,1327.4077669902913,2895.0,738.9805825242719,161.45631067961165,6341.514563106796,2310.893203883495,1349.7087378640776,441.4466019417476,3130.4854368932038,597.9320388349514,222.95145631067962,597.9320388349514,222.95145631067962,103,12.110433261851773,11.02964130516547,0.41294646083406467,0.9626168224299065,0.7152777777777778,-0.9822695512139892
6,16967.126050420167,1181.218487394958,638.8151260504202,1264.7310924369747,20211.344537815126,922.2016806722689,590.0252100840336,1871.8067226890757,8531.44537815126,692.6470588235294,450.79831932773106,1752.5378151260504,13315.344537815126,1595.7310924369747,962.3865546218487,1307.420168067227,5835.9747899159665,1718.81512605042,378.43697478991595,2509.0672268907565,10762.974789915967,2628.9411764705883,136.78991596638656,491.56302521008405,12311.10924369748,512.0336134453781,139.78151260504202,457.890756302521,11757.310924369747,1803.3949579831933,257.1344537815126,2842.1512605042017,11171.73949579832,1708.6050420168067,383.453781512605,1744.563025210084,7878.756302521008,1211.4705882352941,533.3613445378152,1350.3445378151262,3194.5210084033615,619.655462184874,166.71428571428572,9946.16806722689,2522.1008403361343,1369.6050420168067,195.65546218487395,3251.4117647058824,575.7142857142857,224.9579831932773,575.7142857142857,224.9579831932773,119,15.641209714635888,10.303040493104849,0.7523958500648807,0.9224806201550387,0.6611111111111111,-1.0725026330090248
7,20506.711764705884,1143.6117647058823,676.1588235294117,1223.8058823529411,23149.694117647057,955.0470588235294,644.3294117647059,2032.5058823529412,9238.388235294118,733.535294117647,387.6823529411765,1782.964705882353,16319.141176470588,1643.6352941176472,1909.0058823529412,1767.8529411764705,6743.094117647059,1758.9352941176471,391.8588235294118,2409.970588235294,12147.058823529413,2201.2235294117645,325.2294117647059,507.61176470588236,13578.870588235293,568.3,139.35882352941175,1310.7411764705882,13050.211764705882,1780.535294117647,294.74117647058824,2838.4,12375.35294117647,1071.8588235294117,387.5470588235294,2014.6411764705883,8817.329411764706,1298.4705882352941,536.2823529411764,1372.7176470588236,5559.341176470588,641.6176470588235,179.63529411764705,4152.382352941177,3739.3,1413.6,208.9,3147.8470588235296,505.81176470588235,229.23529411764707,505.81176470588235,229.23529411764707,170,17.505931779294798,12.561199648987413,0.6965176901700241,0.9550561797752809,0.7264957264957265,0.11140488960053256
8,19577.479338842975,1243.3305785123966,589.595041322314,1138.1818181818182,17155.553719008265,908.7438016528926,483.12396694214874,1667.206611570248,7718.330578512397,712.6776859504132,351.20661157024796,1709.3305785123966,12547.157024793389,1572.7520661157025,776.1404958677685,911.5537190082645,5252.280991735537,1744.7851239669421,361.78512396694214,2381.595041322314,9727.96694214876,795.3636363636364,153.19834710743802,517.603305785124,10643.421487603306,461.90909090909093,128.89256198347107,443.79338842975204,10169.206611570247,1661.8264462809918,249.68595041322314,2819.900826446281,9477.876033057852,838.8842975206611,358.6280991735537,1693.685950413223,6802.719008264463,1073.495867768595,497.08264462809916,1352.702479338843,6180.3140495867765,671.4710743801653,194.76859504132233,6247.190082644628,4114.611570247934,1579.9421487603306,330.8429752066116,3429.5702479338843,529.6528925619834,229.46280991735537,529.6528925619834,229.46280991735537,121,18.97701577286365,8.590155652789385,0.8916826705279982,0.852112676056338,0.6368421052631579,0.274739853218072
9,21268.335616438355,1173.8561643835617,642.472602739726,1202.9794520547946,23412.109589041094,941.945205479452,776.5068493150685,1889.7602739726028,9510.760273972603,703.4041095890411,611.2534246575342,1748.3219178082193,16314.77397260274,1622.3013698630136,1764.623287671233,2384.109589041096,6845.965753424657,1701.5068493150684,403.21232876712327,2542.6369863013697,12204.643835616438,1305.472602739726,272.7739726027397,660.3630136986301,13519.212328767124,1051.0479452054794,142.75342465753425,497.90410958904107,12966.815068493152,1781.6164383561643,262.78767123287673,2849.3424657534247,12302.520547945205,1151.7260273972602,384.55479452054794,2000.8082191780823,8656.77397260274,1542.7945205479452,539.027397260274,1353.2123287671234,4638.623287671233,618.7945205479452,167.44520547945206,6508.315068493151,2624.8082191780823,1171.7602739726028,109.8013698630137,3101.22602739726,494.7328767123288,231.12328767123287,494.7328767123288,231.12328767123287,146,18.85951750549518,10.451559410529397,0.8323971394671437,0.863905325443787,0.7373737373737373,0.028389308201475727
10,27758.71212121212,1292.9848484848485,708.8863636363636,1288.8257575757575,23772.43181818182,944.6742424242424,538.030303030303,1893.7651515151515,10427.35606060606,755.25,549.2121212121212,1790.409090909091,18175.060606060608,1678.1060606060605,1097.371212121212,2139.5530303030305,7813.5,1704.4469696969697,417.3636363636364,2482.6666666666665,13958.530303030304,2269.590909090909,229.58333333333334,897.6439393939394,15226.55303030303,495.0530303030303,138.95454545454547,785.4015151515151,14436.810606060606,2043.5075757575758,258.95454545454544,2844.3939393939395,13002.545454545454,817.2878787878788,382.6287878787879,1658.6439393939395,9032.568181818182,1156.310606060606,537.8333333333334,1408.8257575757575,3266.75,616.0454545454545,163.27272727272728,4987.871212121212,1138.409090909091,992.1060606060606,491.29545454545456,2993.219696969697,455.4318181818182,231.1969696969697,455.4318181818182,231.1969696969697,132,18.13536056700495,9.610044635402966,0.8480560998712812,0.9496402877697842,0.6346153846153846,0.6122114952648553
11,25164.625766871166,1227.6687116564417,705.6257668711656,1227.7361963190185,25138.423312883435,977.1533742331288,647.4846625766871,2028.6748466257668,10377.006134969326,791.1595092024539,406.26993865030676,1772.6257668711658,17957.748466257668,1719.361963190184,1295.7914110429447,1586.7300613496932,7629.552147239264,1837.9631901840492,416.00613496932516,2450.40490797546,13009.0245398773,2883.5153374233128,210.31288343558282,521.8650306748466,15032.509202453988,575.5337423312883,143.30061349693253,503.92024539877303,14340.061349693251,1835.9693251533743,276.0490797546012,2850.39263803681,13290.625766871166,1320.6319018404909,399.6196319018405,2010.3926380368098,9504.742331288344,1314.1349693251534,549.4907975460122,1377.3251533742332,2913.8220858895706,595.4662576687117,163.15337423312883,6893.036809815951,1642.9079754601228,1160.4723926380368,445.0,3344.7484662576685,485.00613496932516,231.98159509202455,485.00613496932516,231.98159509202455,163,20.419347693016444,10.953389113573387,0.8439498469166236,0.9005524861878453,0.6791666666666667,0.015543657501281465
